Depth,Name,Reference,Coverage_Result,Description,Metric_Type,Item,Owner,Priority,Milestone,Weight,Goal,Issue,Comment,Tag
4,inner_secret_key,req_hmac_0011,,This inner secret key is created with the 128/256/384/512/1024-bit (hashed) secret key (depending on the configured key length) and `0x00` padding to complete the corresponding block size of the configured digest size. This is XORed with 64 bits 0x36 value.,functional,cfg_cg.hmac_en_x_key_length,Martin,,,,,,Covered by the C model,
4,hmac_second_round,req_hmac_0012,,The first round digest is fed into the second round in HMAC. The second round computes the hash of the outer secret key concatenated with the first round digest.,functional,cfg_cg.hmac_en.enabled,Martin,,,,,,Covered by the C model,
4,outer_secret_key,req_hmac_0013,,This outer secret key is created with the 128/256/384/512/1024-bit (hashed) secret key (depending on the configured key length) and `0x00` padding to complete the corresponding block size of the configured digest size. This is XORed with 64 bits 0x5c value.,functional,cfg_cg.hmac_en_x_key_length,Martin,,,,,,Covered by the C model,
4,max_key_length,req_hmac_0014,,"HMAC supports a secret key of length 128/256/384/512/1024-bit, so long as the key length does not exceed the block size of the configured digest.",functional,err_code_cg.key_length_higher_blk_size,Martin,,,,,,,
4,key_endianness,req_hmac_002D,,"The byte order of the key registers is big-endian by default, can be swapped to little endian by setting [`CFG.key_swap`](registers.md#cfg--key_swap) to 1.",functional,cfg_cg.endian_swap,Martin,,,,,,,
4,arbitrary_key_length,req_hmac_0016,,"To support any arbitrary key length, the software should configure the HMAC to the next largest supported key length",functional,TODO,Martin,,,,,,MVy: it hasn't been verified yet ! (13.11.2024),
3,perf_sha2_hmac_modes,,,https://opentitan.org/book/hw/ip/hmac/doc/theory_of_operation.html#performance-in-sha-2-mode-and-hmac-mode,section_title,,,,,,,,,
4,wr_msg_fifo_during_hash,req_hmac_0017,,The software can feed the next 16 x 32-bit message block during the 48 rounds required by the SHA block to compute the HASH of current message block.,functional,wr_msg_during_hash_cg,Martin,,,,,,,
4,fifo_full_access_blocked,req_hmac_0018,,"Once the FIFO gets full, the software cannot push more data until the current block is processed.",functional,TODO,Martin,,,,,,Do writes while the FIFO is full,
4,sha2_256_performance,imp_hmac_000B,,"This version of the IP fetches the next 16 x 32-bit message into the internal message scheduling array only after completing the current block.
As such, it takes 80 cycles to complete a block.",formal,TODO,Martin,,,,,,,
4,sha2_384_512_performance,imp_hmac_000C,,"For SHA-2 384/512, the algorithm computes 1024 bits of data a time and runs for 80 rounds where the first 16 rounds consume the actual 16 x 64-bit message.
It takes 96 cycles to complete a 1024-bit block.",formal,TODO,Martin,,,,,,,
4,hmac_overhead_performance,imp_hmac_000D,,"If HMAC mode is turned on, it introduces extra latency due to the second round of computing the final hash of the outer key and the result of the first round using the inner key.
This adds an extra 240 cycles (80 for the inner key, 80 for the outer key, and 80 for the result of the first round) to complete a HMAC SHA-2 256 digest of a message.
",formal,TODO,Martin,,,,,,,
3,msg_fifo,,,https://opentitan.org/book/hw/ip/hmac/doc/theory_of_operation.html#msg_fifo,section_title,,,,,,,,,
4,msg_fifo_wr,imp_hmac_000E,,"Any writes to the address range go into the single entry point of the `prim_packer`.
Then `prim_packer` compacts the data into the word-size if not a word-write then writes to the MSG_FIFO.",functional,TODO,Martin,,,,,,Be sure that writting anywhere in the address range has the same impact and for any word size,
1,interfaces,,,https://opentitan.org/book/hw/ip/hmac/doc/interfaces.html,section_title,,,,,,,,,
2,clock_in,req_hmac_0025,,"TODO: do we have a clock spec somewhere? We should use a clock agent which is able to emulate the defects that a ""real world"" clock may have.",functional,TODO,Martin,,,,,,Get cov from the agent,
2,reset,,,,section_title,,,,,,,,,
3,reset_in,req_hmac_0026,,TODO: test random resets via an agent,functional,TODO,Martin,,,,,,Get cov from the agent,
3,reset_during_hash,,,,functional,trig_rst_during_hash_cg,Martin,,,,,,,
2,tile_link,,,,functional,TODO,Martin,,,,,,Get cov from the agent,
2,inter_module_signals,,,,section_title,,,,,,,,,
3,idle,req_hmac_0022,,Idle should be high when TODO see https://github.com/lowRISC/opentitan/blob/4ec9f5238bf0f21a03164819d8c637a19e30d759/hw/ip/hmac/rtl/hmac.sv#L867,"formal, functional","TODO, TODO",Martin,,,,,,,
3,tl_rsp,,,TODO: how and what should be checked ?,functional,TODO,Martin,,,,,,,
2,interrupts,,,https://opentitan.org/book/hw/ip/hmac/doc/interfaces.html#interrupts,section_title,,,,,,,,,
3,hmac_done,req_hmac_0008,,An event should be raised when HMAC/SHA-2 has completed.,"assertion, assertion","TODO, TODO",Martin,,,,,,One assertion can be added to the RTL and another one to the SB when hmac_done read is detected,
3,fifo_empty,req_hmac_001A,,The HW should indicate the message FIFO empty status on this interrupt line (see corresponding register for details).,"functional, functional","cip_base_pkg::intr_cg.cp_intr, TODO",Martin,,,,,,Implement a cov to be triggered from the SB when these conditions have been detected,
3,hmac_err,req_hmac_0019,,An event should be raised when an HMAC error has occured.,functional,TODO,Martin,,,,,,Not sure it is modelled correctly and add a cov,
2,security_alerts,,,https://opentitan.org/book/hw/ip/hmac/doc/interfaces.html#security-alerts,section_title,,,,,,,,,
3,fatal_fault,req_hmac_0023,,This fatal alert should be triggered when a fatal TL-UL bus integrity fault is detected.,functional,TODO,Martin,,,,,,,
2,security_countermeasures,,,https://opentitan.org/book/hw/ip/hmac/doc/interfaces.html#security-countermeasures,section_title,,,,,,,,https://opentitan.org/book/doc/contributing/hw/comportability/index.html#security-countermeasures,
3,bus_integrity,req_hmac_0024,,End-to-end bus integrity scheme.,functional,TODO,Martin,,,,,,,
1,registers,,,https://opentitan.org/book/hw/ip/hmac/doc/registers.html,section_title,,,,,,,,,
2,general_csr_tests,,,,section_title,,,,,,,,,
3,csr_hw_reset,,,CSRs should be compliant with the reset value provided in the RAL specification.,testcase,csr_hw_reset,Martin,,,,,,,
3,csr_read_write,,,CSRs should be R/W accessible according to their specified access policies.,testcase,csr_rw,Martin,,,,,,,
3,csr_bit_bash,,,There should be no aliasing within the fields / bits of a CSR.,testcase,csr_bit_bash,Martin,,,,,,,
3,csr_aliasing,,,There should be no aliasing across the address bits within the valid CSR space.,testcase,csr_aliasing,Martin,,,,,,,
2,intr_state,,,,section_title,,,,,,,,,
3,hmac_err,req_hmac_0019,,When an error occured on the HMAC hmac_err bit should be raised.,functional,TODO,Martin,,,,,,Not sure it is modelled correctly and add a cov,
3,fifo_empty,req_hmac_001A,,"This interrupt is raised only if the message FIFO is actually writable by software, i.e., if all of the following conditions are met:
i) The HMAC block is not running in HMAC mode and performing the second round of computing the final hash of the outer key as well as the result of the first round using the inner key.
ii) Software has not yet written the Process or Stop command to finish the hashing operation.
For the interrupt to be raised, the message FIFO must also have been full previously.","functional, functional","cip_base_pkg::intr_cg.cp_intr, TODO",Martin,,,,,,Implement a cov to be triggered from the SB when these conditions have been detected,
3,hmac_done,req_hmac_0008,,The hmac_done bit is raised when HMAC/SHA-2 has completed.,"assertion, assertion","TODO, TODO",Martin,,,,,,One assertion can be added to the RTL and another one to the SB when hmac_done read is detected,
2,intr_enable,,,,section_title,,,,,,,,,
3,intr_enable,req_hmac_001C,,Physical output interrupts should follow the intr_state register when the corresponding bits are enabled in intr_enable register.,functional,TODO,Martin,,,,,,,
2,intr_test,,,,section_title,,,,,,,,,
3,intr_test,req_hmac_001D,,"In order to test interrupts at physical output level and at register level, a register should be provided to force each field individually.","functional, functional","TODO, cip_base_pkg::intr_test_cg",Martin,,,,,,,
2,alert_test,,,,section_title,,,,,,,,,
3,alert_test,req_hmac_001E,,"In order to test alerts, a register should be provided to force each field individually.",functional,TODO,Martin,,,,,,,
2,cfg,,,https://opentitan.org/book/hw/ip/hmac/doc/registers.html#cfg,section_title,,,,,,,,,
3,cfg_update,req_hmac_0038,,"The register is updated when the engine is in Idle. If the software updates the register while the engine computes the hash, the updated value is discarded.",functional,wr_config_during_hash_cg,Martin,,,,,,,
3,cfg_cross,,,All the configuration combinations should be supported,functional,cfg_cg.cfg_cross,,,,,,,,
3,key_length,,,,section_title,,,,,,,,,
4,one_hot,req_hmac_0027,,One-hot encoded field.,functional,cfg_cg.key_length.key_invalid,Martin,,,,,,"Means that non one-hot values should also be tested to be sure it doesn't break anything, in that case in should fall in key_none.",
4,arbitrary_key_length,req_hmac_0016,,"The HMAC can be programmed with the following key lengths: 128-bit, 256-bit, 384-bit, 512-bit and 1024-bit. But the HMAC supports any arbitrary key length: the software should configure the HMAC with the next largest supported key length and concatenate zeros to reach the programmed key length.",functional,TODO,Martin,,,,,,,
4,key_length_x_hmac_en,imp_hmac_0008,,The value of this register is irrelevant when only SHA-2 (not keyed HMAC) is configured.,functional,wr_key_during_sha_only_cg,Martin,,,,,,,
4,invalid_cfg,req_hmac_0020,,"However, for HMAC mode (`hmac_en == 1`), when HMAC is triggered to start while KEY_LENGTH holds `Key_None` or KEY_LENGTH holds `Key_1024` for DIGEST_SIZE = `SHA2_256`, starting is blocked and an error is signalled to SW.","functional, functional, functional","cfg_cg.hmac_en_x_key_none, cfg_cg.key_x_digest_mismatch, err_code_cg.hmac_errors.invalid_config",Martin,,,,,,,
4,key_none,req_hmac_0021,,Unsupported/invalid values and all-zero values are mapped to Key_None.,"functional, functional","cfg_cg.key_length.key_none, cfg_cg.key_length.key_invalid",Martin,,,,,,,
3,digest_size,,,,section_title,,,,,,,,,
4,one_hot,req_hmac_0028,,One-hot encoded field.,functional,cfg_cg.digest_size.sha2_invalid,Martin,,,,,,"Means that non one-hot values should also be tested to be sure it doesn't break anything, in that case in should fall in sha2_none.",
4,digest_size_x_hmac_en,imp_hmac_0007,,Select digest size for either HMAC or SHA-2.,functional,cfg_cg.hmac_en_x_digest_size,Martin,,,,,,,
4,invalid_cfg,req_hmac_002A,,Unsupported/invalid values and all-zero values are mapped to SHA2_None.,"functional, functional","cfg_cg.digest_size.sha2_none, cfg_cg.digest_size.sha2_invalid",Martin,,,,,,,
3,key_swap,,,,section_title,,,,,,,,,
4,key_swap,req_hmac_002B,,If 1 the endianness of each KEY_* register is swapped. Default value (value 0) is big endian representation of the KEY_* CSRs.,functional,cfg_cg.key_swap,Martin,,,,,,,
3,digest_swap,,,,section_title,,,,,,,,,
4,digest_swap,req_hmac_002C,,If 1 the value in each digest output register is converted to big-endian byte order.,functional,cfg_cg.digest_swap,Martin,,,,,,,
3,endian_swap,,,,section_title,,,,,,,,,
4,endian_swap,req_hmac_002D,,"If 0, each value will be added to the message in little-endian byte order. The value is written to MSG_FIFO same to the SW writes. If 1, then each individual multi-byte value, regardless of its alignment, written to MSG_FIFO will be added to the message in big-endian byte order.",formal,TODO,Martin,,,,,,,
4,endian_swap_no_impact,req_hmac_002F,,A message written to MSG_FIFO one byte at a time will not be affected by this setting.,functional,TODO,,,,,,,,
3,sha_en,,,,section_title,,,,,,,,,
4,sha_en,,,SHA core could be disabled.,functional,cfg_cg.sha_en,Martin,,,,,,,
4,sha_disabled_allows_config,req_hmac_0030,,"SHA engine will not initiate compression, this is used to stop operation of the SHA-2 engine until configuration has been done.",functional,TODO,Martin,,,,,,Check regsiters which are supposed to be write protected when sha_en=0,
4,sha_disabled_digest,req_hmac_0031,,When the SHA-2 engine is disabled the digest is cleared.,assertion,TODO,Martin,,,,,,Check that digest is cleared when SHA is disabled,
4,hmac_en,req_hmac_0002,,HMAC datapath enable.,functional,cfg_cg.hmac_en,Martin,,,,,,,
4,hmac_hash_start,imp_hmac_000F,,"If this bit is 1, HMAC operates when `hash_start` toggles.",assertion,TODO,Martin,,,,,,Check that FSM is moving to a certain state only once this signal has been triggered,
2,cmd,,,https://opentitan.org/book/hw/ip/hmac/doc/registers.html#cmd,section_title,,,,,,,,,
3,hash_continue,imp_hmac_0010,,"When 1 is written to this field, SHA-2 or HMAC will continue hashing based on the current hash in the digest registers and the message length",functional,save_and_restore_cg,Martin,,,,,,,
3,hash_stop,,,,section_title,,,,,,,,,
4,hmac_done_irq,req_hmac_0008,,"When 1 is written to this field, SHA-2 or HMAC will afterwards set the hmac_done interrupt as soon as the current block has been hashed.","assertion, assertion","TODO, TODO",Martin,,,,,,One assertion can be added to the RTL and another one to the SB when hmac_done read is detected,
4,digest_avail,imp_hmac_0011,,The hash can then be read from the registers DIGEST_0 to DIGEST_15.,functional,TODO,Martin,,,,,,Add something to be sure that all the digest registers are accessed while checking against the expected,
3,hash_process,imp_hmac_0012,,"If 1 is written to this field, SHA-2 or HMAC calculates the digest or signing based on currently received message.",functional,TODO,Martin,,,,,,,
2,status,,,,section_title,,,,,,,,,
3,hmac_idle,req_hmac_0033,,HMAC idle status.,functional,status_cg.TODO,Martin,,,,,,TODO: all of these means that it has been detected from the DUT register but not actually verified ! -> status_cg.sta_hmac_idle,
3,fifo_empty,req_hmac_0034,,FIFO empty.,functional,status_cg.TODO,Martin,,,,,,TODO: all of these means that it has been detected from the DUT register but not actually verified ! -> status_cg.fifo_empty_cross,
3,fifo_full,req_hmac_0035,,FIFO full.,functional,status_cg.TODO,Martin,,,,,,TODO: all of these means that it has been detected from the DUT register but not actually verified ! -> status_cg.fifo_full_cross,
3,fifo_depth,req_hmac_0036,,FIFO entry count.,functional,status_cg.TODO,Martin,,,,,,TODO: all of these means that it has been detected from the DUT register but not actually verified ! -> status_cg.fifo_depth_cross,
3,fifo_depth_size,req_hmac_0006,,FIFO depth register field should be 6 bits width as the message FIFO has a depth of 32.,formal,TODO,Martin,,,,,,,
2,err_code,,,,section_title,,,,,,,,,
3,err_code,req_hmac_0037,,"If an error interrupt occurs, this register has information of error cause. ",functional,err_code_cg,Martin,,,,,,,
2,wipe_secret,,,,section_title,,,,,,,,,
3,wipe_internal_variables,req_hmac_000A,,"If CPU writes a value into the register, the value is used to clear the internal variables such as the secret key, internal state machine, or hash value. The clear secret operation overwrites the internal variables with the provided 32-bit value. For SHA-2 384/512 that work with 64-bit words, the 32-bit value is duplicated and concatenated to generate the 64-bit value.","testcase, formal","wipe_secret, TODO",Martin,,,,,,,
2,key,,,,section_title,,,,,,,,,
3,key_order,imp_hmac_0013,,"Order of the secret key is: key[1023:0] = {KEY0, KEY1, KEY2, ... , KEY31};",functional,cfg_cg.hmac_swap_x_key_length,Martin,,,,,,Covered by the C model as the returned digest is matching,
3,key_update,req_hmac_0039,,"The registers are allowed to be updated only when the engine is in Idle state. If the engine computes the hash, it discards any attempts to update the secret keys and report an error.","functional, functional","wr_key_during_hash_cg, err_code_cg.hmac_errors.update_secret_key_in_process",Martin,,,,,,,
2,digest,,,,section_title,,,,,,,,,
3,key_write_only,req_hmac_003A,,The key register should be only write accessible.,formal,TODO,Martin,,,,,,,
3,digest_order,imp_hmac_000A,,"Order of the 512-bit digest[511:0] = {DIGEST0, DIGEST1, DIGEST2, … , DIGEST15}. For SHA-2 256 order of the 256-bit digest[255:0] = {DIGEST0, DIGEST1, DIGEST2, DIGEST3, DIGEST4, DIGEST5, DIGEST6, DIGEST7} and {DIGEST8 - DIGEST15} are irrelevant and should not be read out. For SHA-2 384, {DIGEST12-DIGEST15} are truncated; they are irrelevant and should not be read out.",functional,cfg_cg.digest_size,Martin,,,,,,,
3,digest_clear,req_hmac_0031,,The digest should be cleared when CFG.sha_en transitions from 1 to 0.,assertion,TODO,Martin,,,,,,Add an assertion to be sure that the digest is cleared in that case,
3,digest_access,req_hmac_003b,,"When `STATUS.hmac_idle` is 1, these registers can be written to by software.",functional,wr_digest_during_not_idle_cg,Martin,,,,,,,
2,msg_length,,,,section_title,,,,,,,,,
3,msg_length_split,imp_hmac_0014,,"For SHA-2 256 computations, message length is 64-bit {MSG_LENGTH_UPPER, MSG_LENGTH_LOWER}. For SHA-2 384/512 message length is extended to 128-bit in line with [nist-fips-180-4] where the upper 64 bits get zero-padded: {32’b0, 32’b0, MSG_LENGTH_UPPER, MSG_LENGTH_LOWER}.",formal,TODO,Martin,,,,,,,
3,msg_length_access,req_hmac_003c,,"When `STATUS.hmac_idle` is 1, this register can be written by software.",functional,wr_msg_len_during_not_idle_cg,Martin,,,,,,,
2,msg_fifo,,,,section_title,,,,,,,,,
3,msg_fifo,imp_hmac_0015,,Message FIFO. Any write to this window will be appended to the FIFO. Only the lower [1:0] bits of the address matter to writes within the window (for correctly dealing with non 32-bit writes).,functional,TODO,Martin,,,,,,Weird write accesses should be tested to be sure that we are able to correctly deal with non 32-bit writes and also to be sure that only the lower 2 bits are used within this range.,
1,programmers_guide,,,https://opentitan.org/book/hw/ip/hmac/doc/programmers_guide.html,section_title,,,,,,,,,
2,sar_registers,req_hmac_0005,,"The context that needs to be saved and restored is in the following registers: CFG, DIGEST_*, and MSG_LENGTH_*.",functional,save_and_restore_cg,Martin,,,,,,,
2,error_codes,imp_hmac_0016,,"When HMAC errors are triggered, the IP reports the error via INTR_STATE.hmac_err. The details of the error type is stored in ERR_CODE.",functional,err_code_cg,Martin,,,,,,,
